Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice
489436,82582,AREA PATROLLED METAL SIGN,12.0,2009-12-01 09:06:00,2.1,13078.0,United Kingdom,25.200000000000003
489436,21181,PLEASE ONE PERSON  METAL SIGN,12.0,2009-12-01 09:06:00,2.1,13078.0,United Kingdom,25.200000000000003
489436,21756,BATH BUILDING BLOCK WORD,3.0,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,17.85
489436,21333,CLASSIC WHITE FRAME,6.0,2009-12-01 09:06:00,2.95,13078.0,United Kingdom,17.700000000000003
489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8.0,2009-12-01 09:06:00,1.25,13078.0,United Kingdom,10.0
489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8.0,2009-12-01 09:06:00,1.25,13078.0,United Kingdom,10.0
489436,22111,SCOTTIE DOG HOT WATER BOTTLE,24.0,2009-12-01 09:06:00,4.25,13078.0,United Kingdom,102.0
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6.0,2009-12-01 09:08:00,2.1,15362.0,United Kingdom,12.600000000000001
489437,22145,CHRISTMAS CRAFT HEART STOCKING ,6.0,2009-12-01 09:08:00,2.1,15362.0,United Kingdom,12.600000000000001
489437,22130,PARTY CONE CHRISTMAS DECORATION ,12.0,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,10.2
489437,21364,PEACE SMALL WOOD LETTERS,2.0,2009-12-01 09:08:00,6.75,15362.0,United Kingdom,13.5
489437,21360,JOY LARGE WOOD LETTERS,1.0,2009-12-01 09:08:00,9.95,15362.0,United Kingdom,9.95
489437,21351,CINAMMON & ORANGE WREATH,2.0,2009-12-01 09:08:00,6.75,15362.0,United Kingdom,13.5
489437,21352,EUCALYPTUS & PINECONE  WREATH,2.0,2009-12-01 09:08:00,6.75,15362.0,United Kingdom,13.5
489437,35400,WOODEN BOX ADVENT CALENDAR ,2.0,2009-12-01 09:08:00,8.95,15362.0,United Kingdom,17.9
489437,20695,FLORAL BLUE MONSTER,3.0,2009-12-01 09:08:00,4.25,15362.0,United Kingdom,12.75
489437,37370,RETRO COFFEE MUGS ASSORTED,12.0,2009-12-01 09:08:00,1.25,15362.0,United Kingdom,15.0
489437,10002,INFLATABLE POLITICAL GLOBE ,12.0,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,10.2
489437,84507B,STRIPES DESIGN MONKEY DOLL,6.0,2009-12-01 09:08:00,2.55,15362.0,United Kingdom,15.299999999999999
489437,20703,BLUE PADDED SOFT MOBILE,3.0,2009-12-01 09:08:00,4.25,15362.0,United Kingdom,12.75
489437,21987,PACK OF 6 SKULL PAPER CUPS,12.0,2009-12-01 09:08:00,0.65,15362.0,United Kingdom,7.800000000000001
489437,21989,PACK OF 20 SKULL PAPER NAPKINS,12.0,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,10.2
489437,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12.0,2009-12-01 09:08:00,0.85,15362.0,United Kingdom,10.2
489437,20971,PINK BLUE FELT CRAFT TRINKET BOX,12.0,2009-12-01 09:08:00,1.25,15362.0,United Kingdom,15.0
489437,22271,FELTCRAFT DOLL ROSIE,6.0,2009-12-01 09:08:00,2.95,15362.0,United Kingdom,17.700000000000003
489437,22272,FELTCRAFT DOLL MARIA,6.0,2009-12-01 09:08:00,2.95,15362.0,United Kingdom,17.700000000000003
489437,22274,FELTCRAFT DOLL EMILY,6.0,2009-12-01 09:08:00,2.95,15362.0,United Kingdom,17.700000000000003
489437,21912,VINTAGE SNAKES & LADDERS,4.0,2009-12-01 09:08:00,3.75,15362.0,United Kingdom,15.0
489437,22111,SCOTTIE DOG HOT WATER BOTTLE,3.0,2009-12-01 09:08:00,4.95,15362.0,United Kingdom,14.850000000000001
489437,22112,CHOCOLATE HOT WATER BOTTLE,3.0,2009-12-01 09:08:00,4.95,15362.0,United Kingdom,14.850000000000001
489438,21329,DINOSAURS  WRITING SET ,28.0,2009-12-01 09:24:00,0.98,18102.0,United Kingdom,27.439999999999998
489438,21252,SET OF MEADOW  FLOWER STICKERS,30.0,2009-12-01 09:24:00,1.69,18102.0,United Kingdom,50.699999999999996
489438,21100,CHARLIE AND LOLA CHARLOTTE BAG,30.0,2009-12-01 09:24:00,1.15,18102.0,United Kingdom,34.5
489438,21033,JUMBO BAG CHARLIE AND LOLA TOYS,30.0,2009-12-01 09:24:00,2.0,18102.0,United Kingdom,60.0
489438,20711,JUMBO BAG TOYS ,60.0,2009-12-01 09:24:00,1.3,18102.0,United Kingdom,78.0
489438,21410,COUNTRY COTTAGE  DOORSTOP GREEN,32.0,2009-12-01 09:24:00,2.5,18102.0,United Kingdom,80.0
489438,21411,GINGHAM HEART  DOORSTOP RED,32.0,2009-12-01 09:24:00,2.5,18102.0,United Kingdom,80.0
489438,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,56.0,2009-12-01 09:24:00,3.0,18102.0,United Kingdom,168.0
489438,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,56.0,2009-12-01 09:24:00,3.0,18102.0,United Kingdom,168.0
489438,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,60.0,2009-12-01 09:24:00,1.9,18102.0,United Kingdom,114.0
489438,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,56.0,2009-12-01 09:24:00,1.9,18102.0,United Kingdom,106.39999999999999
489438,84519A,TOMATO CHARLIE+LOLA COASTER SET,56.0,2009-12-01 09:24:00,2.15,18102.0,United Kingdom,120.39999999999999
489438,84519B,CARROT CHARLIE+LOLA COASTER SET,60.0,2009-12-01 09:24:00,2.4,18102.0,United Kingdom,144.0
489438,85132A,CHARLIE + LOLA BISCUITS TINS,60.0,2009-12-01 09:24:00,6.38,18102.0,United Kingdom,382.8
489438,85132C,CHARLIE AND LOLA FIGURES TINS,60.0,2009-12-01 09:24:00,6.4,18102.0,United Kingdom,384.0
489438,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,60.0,2009-12-01 09:24:00,2.4,18102.0,United Kingdom,144.0
489438,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,60.0,2009-12-01 09:24:00,2.4,18102.0,United Kingdom,144.0
489439,22065,CHRISTMAS PUDDING TRINKET POT ,12.0,2009-12-01 09:28:00,1.45,12682.0,France,17.4
489439,22138,BAKING SET 9 PIECE RETROSPOT ,9.0,2009-12-01 09:28:00,4.95,12682.0,France,44.550000000000004
489439,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,9.0,2009-12-01 09:28:00,4.95,12682.0,France,44.550000000000004
489439,22352,LUNCHBOX WITH CUTLERY RETROSPOT ,12.0,2009-12-01 09:28:00,2.55,12682.0,France,30.599999999999998
489439,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,3.0,2009-12-01 09:28:00,5.95,12682.0,France,17.85
489439,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3.0,2009-12-01 09:28:00,5.95,12682.0,France,17.85
489439,16161P,WRAP ENGLISH ROSE ,25.0,2009-12-01 09:28:00,0.42,12682.0,France,10.5
489439,16169N,WRAP BLUE RUSSIAN FOLKART,25.0,2009-12-01 09:28:00,0.42,12682.0,France,10.5
489439,21491,SET OF THREE VINTAGE GIFT WRAPS,6.0,2009-12-01 09:28:00,1.95,12682.0,France,11.7
489439,22333,RETRO SPORT PARTY BAG + STICKER SET,8.0,2009-12-01 09:28:00,1.65,12682.0,France,13.2
489439,85216,ASSORTED CAKES FRIDGE MAGNETS,12.0,2009-12-01 09:28:00,0.65,12682.0,France,7.800000000000001
489439,21493, VINTAGE DESIGN GIFT TAGS,12.0,2009-12-01 09:28:00,0.85,12682.0,France,10.2
489439,22130,PARTY CONE CHRISTMAS DECORATION ,24.0,2009-12-01 09:28:00,0.85,12682.0,France,20.4
489439,22064,PINK DOUGHNUT TRINKET POT ,12.0,2009-12-01 09:28:00,1.65,12682.0,France,19.799999999999997
489439,21731,RED TOADSTOOL LED NIGHT LIGHT,24.0,2009-12-01 09:28:00,1.65,12682.0,France,39.599999999999994
489439,85232B,SET/3 RUSSIAN DOLL STACKING TINS,6.0,2009-12-01 09:28:00,4.95,12682.0,France,29.700000000000003
489439,84691,PACK 20 DOLLY PEGS,12.0,2009-12-01 09:28:00,0.85,12682.0,France,10.2
489439,20749,ASSORTED COLOUR MINI CASES,2.0,2009-12-01 09:28:00,7.95,12682.0,France,15.9
489439,POST,POSTAGE,3.0,2009-12-01 09:28:00,18.0,12682.0,France,54.0
489440,22350,CAT BOWL ,8.0,2009-12-01 09:43:00,2.55,18087.0,United Kingdom,20.4
489440,22349,"DOG BOWL , CHASING BALL DESIGN",8.0,2009-12-01 09:43:00,3.75,18087.0,United Kingdom,30.0
489441,22321,BIRD DECORATION RED SPOT,12.0,2009-12-01 09:44:00,0.72,18087.0,United Kingdom,8.64
489441,22138,BAKING SET 9 PIECE RETROSPOT ,6.0,2009-12-01 09:44:00,4.25,18087.0,United Kingdom,25.5
489441,84029E,RED WOOLLY HOTTIE WHITE HEART.,36.0,2009-12-01 09:44:00,2.95,18087.0,United Kingdom,106.2
489441,22111,SCOTTIE DOG HOT WATER BOTTLE,48.0,2009-12-01 09:44:00,4.25,18087.0,United Kingdom,204.0
489442,21955,UNION JACK GUNS & ROSES  DOORMAT,2.0,2009-12-01 09:46:00,6.75,13635.0,United Kingdom,13.5
489442,22111,SCOTTIE DOG HOT WATER BOTTLE,3.0,2009-12-01 09:46:00,4.95,13635.0,United Kingdom,14.850000000000001
489442,22296,HEART IVORY TRELLIS LARGE,12.0,2009-12-01 09:46:00,1.65,13635.0,United Kingdom,19.799999999999997
489442,84899E,YELLOW + BROWN BEAR FELT PURSE KIT,12.0,2009-12-01 09:46:00,1.25,13635.0,United Kingdom,15.0
489442,22271,FELTCRAFT DOLL ROSIE,6.0,2009-12-01 09:46:00,2.95,13635.0,United Kingdom,17.700000000000003
489442,22272,FELTCRAFT DOLL MARIA,6.0,2009-12-01 09:46:00,2.95,13635.0,United Kingdom,17.700000000000003
489442,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6.0,2009-12-01 09:46:00,2.95,13635.0,United Kingdom,17.700000000000003
489442,21582,KINGS CHOICE SMALL TUBE MATCHES,20.0,2009-12-01 09:46:00,1.65,13635.0,United Kingdom,33.0
489442,21586,KINGS CHOICE GIANT TUBE MATCHES,12.0,2009-12-01 09:46:00,2.55,13635.0,United Kingdom,30.599999999999998
489442,21590,KINGS CHOICE CIGAR BOX MATCHES ,48.0,2009-12-01 09:46:00,1.25,13635.0,United Kingdom,60.0
489442,22091,EMPIRE TISSUE BOX,12.0,2009-12-01 09:46:00,1.25,13635.0,United Kingdom,15.0
489442,84251J,"GREETING CARD, THE BLACK CAT",12.0,2009-12-01 09:46:00,0.42,13635.0,United Kingdom,5.04
489442,22024,RAINY LADIES BIRTHDAY CARD,12.0,2009-12-01 09:46:00,0.42,13635.0,United Kingdom,5.04
489442,22026,BANQUET BIRTHDAY  CARD  ,12.0,2009-12-01 09:46:00,0.42,13635.0,United Kingdom,5.04
489442,22029,SPACE BOY BIRTHDAY CARD,12.0,2009-12-01 09:46:00,0.42,13635.0,United Kingdom,5.04
489442,22025,RING OF ROSES BIRTHDAY CARD,12.0,2009-12-01 09:46:00,0.42,13635.0,United Kingdom,5.04
489442,22031,BOTANICAL LAVENDER BIRTHDAY CARD,12.0,2009-12-01 09:46:00,0.42,13635.0,United Kingdom,5.04
489442,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4.0,2009-12-01 09:46:00,4.25,13635.0,United Kingdom,17.0
489442,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4.0,2009-12-01 09:46:00,3.75,13635.0,United Kingdom,15.0
489442,21916,SET 12 RETRO WHITE CHALK STICKS,24.0,2009-12-01 09:46:00,0.42,13635.0,United Kingdom,10.08
489442,21790,VINTAGE SNAP CARDS,12.0,2009-12-01 09:46:00,0.85,13635.0,United Kingdom,10.2
489442,21888,BINGO SET,8.0,2009-12-01 09:46:00,3.75,13635.0,United Kingdom,30.0
489442,85178,VICTORIAN SEWING KIT,12.0,2009-12-01 09:46:00,1.25,13635.0,United Kingdom,15.0
489443,20754,RETRO RED SPOTTY WASHING UP GLOVES,6.0,2009-12-01 09:50:00,2.1,14110.0,United Kingdom,12.600000000000001
489443,21035,SET/2 RED SPOTTY TEA TOWELS ,12.0,2009-12-01 09:50:00,2.95,14110.0,United Kingdom,35.400000000000006
489443,22041,"RECORD FRAME 7"" SINGLE SIZE ",48.0,2009-12-01 09:50:00,2.1,14110.0,United Kingdom,100.80000000000001
489443,82001S,VINYL RECORD FRAME SILVER,24.0,2009-12-01 09:50:00,3.39,14110.0,United Kingdom,81.36
489443,82580,BATHROOM METAL SIGN,12.0,2009-12-01 09:50:00,0.55,14110.0,United Kingdom,6.6000000000000005
489443,85150,LADIES & GENTLEMEN METAL SIGN,12.0,2009-12-01 09:50:00,2.55,14110.0,United Kingdom,30.599999999999998
489443,21041,RED SPOTTY OVEN GLOVE DOUBLE,6.0,2009-12-01 09:50:00,2.95,14110.0,United Kingdom,17.700000000000003
489444,POST,POSTAGE,1.0,2009-12-01 09:55:00,141.0,12636.0,USA,141.0
489445,35916C,PINK FELT HANGING HEART W FLOWER,12.0,2009-12-01 09:57:00,0.85,17519.0,United Kingdom,10.2
489445,35916B,BLUE FELT HANGING HEART W FLOWER,12.0,2009-12-01 09:57:00,0.85,17519.0,United Kingdom,10.2
489445,22321,BIRD DECORATION RED SPOT,24.0,2009-12-01 09:57:00,0.85,17519.0,United Kingdom,20.4
489445,22130,PARTY CONE CHRISTMAS DECORATION ,12.0,2009-12-01 09:57:00,0.85,17519.0,United Kingdom,10.2
489445,22180,RETRO SPOT LAMP,2.0,2009-12-01 09:57:00,9.95,17519.0,United Kingdom,19.9
489445,22128,PARTY CONES CANDY ASSORTED,12.0,2009-12-01 09:57:00,1.25,17519.0,United Kingdom,15.0
489445,22163,HEART STRING MEMO HOLDER HANGING,6.0,2009-12-01 09:57:00,2.95,17519.0,United Kingdom,17.700000000000003
489445,35951,FOLKART BAUBLE CHRISTMAS DECORATION,48.0,2009-12-01 09:57:00,0.38,17519.0,United Kingdom,18.240000000000002
489445,22253,6 CROCHET STRAWBERRIES,12.0,2009-12-01 09:57:00,1.25,17519.0,United Kingdom,15.0
489445,84988,SET OF 72 PINK HEART PAPER DOILIES,12.0,2009-12-01 09:57:00,1.45,17519.0,United Kingdom,17.4
489445,22219,LOVEBIRD HANGING DECORATION WHITE ,24.0,2009-12-01 09:57:00,0.85,17519.0,United Kingdom,20.4
489445,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,6.0,2009-12-01 09:57:00,2.55,17519.0,United Kingdom,15.299999999999999
489445,22138,BAKING SET 9 PIECE RETROSPOT ,3.0,2009-12-01 09:57:00,4.95,17519.0,United Kingdom,14.850000000000001
489445,21299,EDWARDIAN TOILET ROLL UNIT ,1.0,2009-12-01 09:57:00,12.75,17519.0,United Kingdom,12.75
489445,21099,SET/6 STRAWBERRY PAPER CUPS,24.0,2009-12-01 09:57:00,0.65,17519.0,United Kingdom,15.600000000000001
489445,21085,SET/6 WOODLAND PAPER CUPS,24.0,2009-12-01 09:57:00,0.65,17519.0,United Kingdom,15.600000000000001
489445,21929,JUMBO BAG PINK VINTAGE PAISLEY,10.0,2009-12-01 09:57:00,1.95,17519.0,United Kingdom,19.5
489445,22241,"GARLAND , WOODEN  "" HAPPY EASTER""",24.0,2009-12-01 09:57:00,1.25,17519.0,United Kingdom,30.0
489445,21091,SET/6 WOODLAND PAPER PLATES,12.0,2009-12-01 09:57:00,0.85,17519.0,United Kingdom,10.2
489446,21733,RED HANGING HEART T-LIGHT HOLDER,32.0,2009-12-01 10:06:00,2.55,13758.0,United Kingdom,81.6
489446,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32.0,2009-12-01 10:06:00,2.55,13758.0,United Kingdom,81.6
489446,22178,VICTORIAN GLASS HANGING T-LIGHT,12.0,2009-12-01 10:06:00,1.25,13758.0,United Kingdom,15.0
489446,22125,UNION JACK HOT WATER BOTTLE ,12.0,2009-12-01 10:06:00,5.95,13758.0,United Kingdom,71.4
489446,21671,RED SPOT CERAMIC DRAWER KNOB,12.0,2009-12-01 10:06:00,1.25,13758.0,United Kingdom,15.0
489446,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12.0,2009-12-01 10:06:00,2.95,13758.0,United Kingdom,35.400000000000006
489446,22111,SCOTTIE DOG HOT WATER BOTTLE,6.0,2009-12-01 10:06:00,4.95,13758.0,United Kingdom,29.700000000000003
489446,22112,CHOCOLATE HOT WATER BOTTLE,12.0,2009-12-01 10:06:00,4.95,13758.0,United Kingdom,59.400000000000006
489446,22294,HEART FILIGREE DOVE  SMALL,24.0,2009-12-01 10:06:00,1.25,13758.0,United Kingdom,30.0
489446,22199,FRYING PAN RED POLKADOT ,4.0,2009-12-01 10:06:00,4.25,13758.0,United Kingdom,17.0
489446,22083,PAPER CHAIN KIT RETRO SPOT,24.0,2009-12-01 10:06:00,2.95,13758.0,United Kingdom,70.80000000000001
489446,22114,HOT WATER BOTTLE TEA AND SYMPATHY,12.0,2009-12-01 10:06:00,3.95,13758.0,United Kingdom,47.400000000000006
489446,21485,RED SPOT HEART HOT WATER BOTTLE,12.0,2009-12-01 10:06:00,4.95,13758.0,United Kingdom,59.400000000000006
489446,21928,JUMBO BAG SCANDINAVIAN PAISLEY,10.0,2009-12-01 10:06:00,1.95,13758.0,United Kingdom,19.5
489446,21929,JUMBO BAG PINK VINTAGE PAISLEY,10.0,2009-12-01 10:06:00,1.95,13758.0,United Kingdom,19.5
489446,85099B,JUMBO BAG RED WHITE SPOTTY ,20.0,2009-12-01 10:06:00,1.95,13758.0,United Kingdom,39.0
489446,22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",10.0,2009-12-01 10:06:00,0.85,13758.0,United Kingdom,8.5
489446,20724,RED SPOTTY CHARLOTTE BAG,10.0,2009-12-01 10:06:00,0.85,13758.0,United Kingdom,8.5
489446,21590,KINGS CHOICE CIGAR BOX MATCHES ,24.0,2009-12-01 10:06:00,1.25,13758.0,United Kingdom,30.0
489446,21592,RETRO SPOT  CIGAR BOX MATCHES ,24.0,2009-12-01 10:06:00,1.25,13758.0,United Kingdom,30.0
489446,20725,LUNCH BAG RED SPOTTY,10.0,2009-12-01 10:06:00,1.65,13758.0,United Kingdom,16.5
489446,20728,LUNCH BAG CARS BLUE,10.0,2009-12-01 10:06:00,1.65,13758.0,United Kingdom,16.5
489446,20726,LUNCH BAG WOODLAND,10.0,2009-12-01 10:06:00,1.65,13758.0,United Kingdom,16.5
489446,20754,RETRO RED SPOTTY WASHING UP GLOVES,12.0,2009-12-01 10:06:00,2.1,13758.0,United Kingdom,25.200000000000003
489446,21217,RED SPOTTY ROUND CAKE TINS,12.0,2009-12-01 10:06:00,8.95,13758.0,United Kingdom,107.39999999999999
489446,22195,LARGE HEART MEASURING SPOONS,12.0,2009-12-01 10:06:00,1.65,13758.0,United Kingdom,19.799999999999997
489446,85066,CREAM SWEETHEART MINI CHEST,2.0,2009-12-01 10:06:00,12.75,13758.0,United Kingdom,25.5
489447,POST,POSTAGE,1.0,2009-12-01 10:10:00,130.0,12362.0,Belgium,130.0
489448,20827,GOLD APERITIF GLASS,48.0,2009-12-01 10:18:00,2.12,15413.0,United Kingdom,101.76
489448,20825,GOLD WINE GLASS,48.0,2009-12-01 10:18:00,3.39,15413.0,United Kingdom,162.72
489448,20823,GOLD WINE GOBLET,48.0,2009-12-01 10:18:00,4.25,15413.0,United Kingdom,204.0
489448,20826,SILVER APERITIF GLASS,48.0,2009-12-01 10:18:00,2.12,15413.0,United Kingdom,101.76
489450,22087,PAPER BUNTING WHITE LACE,12.0,2009-12-01 10:36:00,2.95,16321.0,Australia,35.400000000000006
489450,85206A,CREAM FELT EASTER EGG BASKET,6.0,2009-12-01 10:36:00,1.65,16321.0,Australia,9.899999999999999
489450,21895,POTTING SHED SOW 'N' GROW SET,4.0,2009-12-01 10:36:00,4.25,16321.0,Australia,17.0
489450,21896,POTTING SHED TWINE,6.0,2009-12-01 10:36:00,2.1,16321.0,Australia,12.600000000000001
489450,22083,PAPER CHAIN KIT RETRO SPOT,12.0,2009-12-01 10:36:00,2.95,16321.0,Australia,35.400000000000006
489450,21871,SAVE THE PLANET MUG,12.0,2009-12-01 10:36:00,1.25,16321.0,Australia,15.0
489450,84946,ANTIQUE SILVER TEA GLASS ETCHED,12.0,2009-12-01 10:36:00,1.25,16321.0,Australia,15.0
489450,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24.0,2009-12-01 10:36:00,0.85,16321.0,Australia,20.4
489450,22090,PAPER BUNTING RETRO SPOTS,12.0,2009-12-01 10:36:00,2.95,16321.0,Australia,35.400000000000006
489460,79323P,PINK CHERRY LIGHTS,8.0,2009-12-01 10:46:00,6.75,16167.0,United Kingdom,54.0
489460,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24.0,2009-12-01 10:46:00,0.55,16167.0,United Kingdom,13.200000000000001
489460,84991,60 TEATIME FAIRY CAKE CASES,24.0,2009-12-01 10:46:00,0.55,16167.0,United Kingdom,13.200000000000001
489460,22274,FELTCRAFT DOLL EMILY,6.0,2009-12-01 10:46:00,2.95,16167.0,United Kingdom,17.700000000000003
489460,22273,FELTCRAFT DOLL MOLLY,6.0,2009-12-01 10:46:00,2.95,16167.0,United Kingdom,17.700000000000003
489460,22179,SET 10 LIGHTS NIGHT OWL,4.0,2009-12-01 10:46:00,6.75,16167.0,United Kingdom,27.0
489460,22320,BIRDS MOBILE VINTAGE DESIGN,3.0,2009-12-01 10:46:00,5.95,16167.0,United Kingdom,17.85
489460,22232,3 PIECE JIGSAW TOADSTOOLS,8.0,2009-12-01 10:46:00,1.65,16167.0,United Kingdom,13.2
489460,84598,BOYS ALPHABET IRON ON PATCHES,576.0,2009-12-01 10:46:00,0.21,16167.0,United Kingdom,120.96
489460,79323W, WHITE CHERRY LIGHTS,8.0,2009-12-01 10:46:00,6.75,16167.0,United Kingdom,54.0
489460,22138,BAKING SET 9 PIECE RETROSPOT ,3.0,2009-12-01 10:46:00,4.95,16167.0,United Kingdom,14.850000000000001
489460,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,3.0,2009-12-01 10:46:00,4.95,16167.0,United Kingdom,14.850000000000001
489460,79323S, SILVER CHERRY LIGHTS,4.0,2009-12-01 10:46:00,6.75,16167.0,United Kingdom,27.0
489460,21731,RED TOADSTOOL LED NIGHT LIGHT,12.0,2009-12-01 10:46:00,1.65,16167.0,United Kingdom,19.799999999999997
489460,84568,GIRLS ALPHABET IRON ON PATCHES ,288.0,2009-12-01 10:46:00,0.21,16167.0,United Kingdom,60.48
489461,21668,RED STRIPE CERAMIC DRAWER KNOB,24.0,2009-12-01 10:49:00,1.25,17865.0,United Kingdom,30.0
489461,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24.0,2009-12-01 10:49:00,1.25,17865.0,United Kingdom,30.0
489461,21670,BLUE SPOT CERAMIC DRAWER KNOB,24.0,2009-12-01 10:49:00,1.25,17865.0,United Kingdom,30.0
489461,21671,RED SPOT CERAMIC DRAWER KNOB,24.0,2009-12-01 10:49:00,1.25,17865.0,United Kingdom,30.0
489461,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,24.0,2009-12-01 10:49:00,1.25,17865.0,United Kingdom,30.0
489461,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,24.0,2009-12-01 10:49:00,1.25,17865.0,United Kingdom,30.0
489461,22125,UNION JACK HOT WATER BOTTLE ,3.0,2009-12-01 10:49:00,5.95,17865.0,United Kingdom,17.85
489461,21232,STRAWBERRY CERAMIC TRINKET BOX,48.0,2009-12-01 10:49:00,1.25,17865.0,United Kingdom,60.0
489461,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,6.0,2009-12-01 10:49:00,2.95,17865.0,United Kingdom,17.700000000000003
489461,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,6.0,2009-12-01 10:49:00,2.95,17865.0,United Kingdom,17.700000000000003
489461,21161,KEEP OUT BOYS DOOR HANGER ,12.0,2009-12-01 10:49:00,1.45,17865.0,United Kingdom,17.4
489461,21162,TOXIC AREA  DOOR HANGER ,12.0,2009-12-01 10:49:00,1.45,17865.0,United Kingdom,17.4
489461,21248,DOOR HANGER  MUM + DADS ROOM,12.0,2009-12-01 10:49:00,1.45,17865.0,United Kingdom,17.4
