Customer ID,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
15251,2,8,8388.750000000002,5,5,5,555,Champions
15856,20,12,8381.030000000002,4,5,5,455,Champions
13001,2,11,8251.910000000002,5,5,5,555,Champions
16525,8,15,8192.699999999995,5,5,5,555,Champions
17381,22,1,8141.14,4,1,5,415,New Customers
17133,24,4,8079.85,4,4,5,445,Champions
17243,5,26,7888.629999999983,5,5,5,555,Champions
12748,8,49,7609.33999999998,5,5,5,555,Champions
13206,38,11,7533.039999999995,3,5,5,355,Loyal Customers
14607,11,7,7403.129999999998,5,5,5,555,Champions
14895,14,10,7339.590000000003,5,5,5,555,Champions
17428,52,6,7305.859999999999,3,5,5,355,Loyal Customers
13767,21,16,7260.349999999994,4,5,5,455,Champions
17377,3,36,7230.829999999979,5,5,5,555,Champions
12682,3,13,7094.619999999999,5,5,5,555,Champions
13225,14,6,7034.67,5,5,5,555,Champions
12409,23,2,7013.679999999999,4,3,5,435,Loyal Customers
13340,95,3,6986.059999999997,2,4,5,245,At Risk
15498,0,7,6931.11,5,5,5,555,Champions
15523,4,10,6900.719999999997,5,5,5,555,Champions
15039,1,21,6831.170000000004,5,5,5,555,Champions
15413,166,5,6798.719999999999,1,5,5,155,At Risk
14543,8,12,6788.699999999997,5,5,5,555,Champions
17404,77,4,6776.1100000000015,2,4,5,245,At Risk
13162,18,9,6628.7999999999965,4,5,5,455,Champions
13952,43,7,6577.13,3,5,5,355,Loyal Customers
14062,50,5,6533.780000000001,3,5,5,355,Loyal Customers
13564,6,17,6400.439999999996,5,5,5,555,Champions
17230,38,10,6286.540000000001,3,5,5,355,Loyal Customers
16746,4,14,6177.849999999999,5,5,5,555,Champions
14134,21,10,6158.559999999997,4,5,5,455,Champions
17716,22,6,6149.199999999999,4,5,5,455,Champions
13935,71,3,6116.92,2,4,5,245,At Risk
13319,1,19,6099.629999999996,5,5,5,555,Champions
12472,17,8,6098.77,4,5,5,455,Champions
12758,23,4,6015.699999999999,4,4,5,445,Champions
15615,2,13,6013.2899999999945,5,5,5,555,Champions
14439,42,3,6001.74,3,4,5,345,Loyal Customers
15640,24,9,5906.189999999997,4,5,5,455,Champions
12714,1,5,5883.879999999999,5,5,5,555,Champions
12380,2,6,5814.650000000001,5,5,5,555,Champions
15738,8,17,5798.2300000000005,5,5,5,555,Champions
16210,65,11,5733.039999999999,3,5,5,355,Loyal Customers
15601,21,12,5706.839999999981,4,5,5,455,Champions
17589,19,6,5668.199999999993,4,5,5,455,Champions
13680,120,6,5643.629999999992,1,5,5,155,At Risk
17416,25,6,5589.980000000001,4,5,5,455,Champions
14299,1,11,5512.079999999993,5,5,5,555,Champions
16656,22,7,5499.140000000002,4,5,5,455,Champions
13027,2,8,5484.0,5,5,5,555,Champions
17389,2,10,5476.339999999999,5,5,5,555,Champions
15291,53,16,5432.010000000002,3,5,5,355,Loyal Customers
15513,19,10,5368.769999999996,4,5,5,455,Champions
16843,24,10,5323.23,4,5,5,455,Champions
14667,14,15,5315.200000000003,5,5,5,555,Champions
12949,73,8,5276.510000000001,2,5,5,255,At Risk
14040,2,14,5241.999999999999,5,5,5,555,Champions
13097,2,13,5211.509999999997,5,5,5,555,Champions
13178,24,6,5188.719999999999,4,5,5,455,Champions
12835,7,34,5154.009999999989,5,5,5,555,Champions
14952,23,13,5150.4,4,5,5,455,Champions
12539,190,2,5149.06,1,3,5,135,At Risk
16013,37,15,5081.12,4,5,5,455,Champions
17364,4,11,5046.139999999996,5,5,5,555,Champions
12437,8,10,5022.279999999999,5,5,5,555,Champions
17139,16,8,4945.060000000002,5,5,5,555,Champions
14110,3,15,4907.909999999996,5,5,5,555,Champions
14849,22,11,4880.639999999997,4,5,5,455,Champions
15093,17,6,4845.939999999998,4,5,5,455,Champions
16327,15,7,4796.869999999994,5,5,5,555,Champions
15044,16,9,4779.350000000002,5,5,5,555,Champions
16652,26,3,4762.159999999999,4,4,5,445,Champions
14828,42,5,4748.16,3,5,5,355,Loyal Customers
14961,30,5,4697.919999999996,4,5,5,455,Champions
12957,16,5,4689.43,5,5,5,555,Champions
12540,15,11,4689.209999999999,5,5,5,555,Champions
15125,7,7,4687.470000000001,5,5,5,555,Champions
14685,50,8,4619.790000000001,3,5,5,355,Loyal Customers
14045,4,7,4518.879999999999,5,5,5,555,Champions
12668,42,4,4502.350000000001,3,4,5,345,Loyal Customers
16131,71,2,4499.94,2,3,5,235,At Risk
18223,31,7,4493.729999999998,4,5,5,455,Champions
12477,4,2,4485.859999999998,5,3,5,535,Loyal Customers
18092,50,5,4481.600000000002,3,5,5,355,Loyal Customers
14739,29,10,4387.800000000002,4,5,5,455,Champions
16749,65,2,4387.08,3,3,5,335,Loyal Customers
15005,2,17,4380.169999999991,5,5,5,555,Champions
16118,127,1,4376.249999999999,1,1,5,115,Lost
14194,24,10,4371.939999999999,4,5,5,455,Champions
14249,25,9,4360.690999999997,4,5,5,455,Champions
17581,21,15,4323.019999999997,4,5,5,455,Champions
15078,3,11,4299.409999999998,5,5,5,555,Champions
16550,16,9,4284.869999999996,5,5,5,555,Champions
16019,95,8,4264.32,2,5,5,255,At Risk
18172,20,11,4250.040000000001,4,5,5,455,Champions
16713,21,10,4207.799999999996,4,5,5,455,Champions
15633,18,12,4164.5099999999975,4,5,5,455,Champions
15179,1,6,4084.730000000001,5,5,5,555,Champions
13013,18,8,4074.239999999998,4,5,5,455,Champions
14505,4,9,3974.1599999999967,5,5,5,555,Champions
16984,24,4,3948.519999999992,4,4,5,445,Champions
13174,41,6,3928.379999999997,3,5,5,355,Loyal Customers
13468,18,18,3909.200000000005,4,5,5,455,Champions
17138,6,5,3891.87,5,5,5,555,Champions
14016,78,4,3881.219999999999,2,4,5,245,At Risk
15823,203,2,3867.169999999997,1,3,5,135,At Risk
17157,11,14,3862.340000000001,5,5,5,555,Champions
17858,21,8,3850.9700000000007,4,5,5,455,Champions
12980,4,6,3837.480000000001,5,5,5,555,Champions
15622,25,7,3829.149999999998,4,5,5,455,Champions
15497,51,5,3816.01,3,5,5,355,Loyal Customers
15382,56,3,3766.729999999999,3,4,5,345,Loyal Customers
17146,1,6,3723.5700000000006,5,5,5,555,Champions
13941,19,7,3703.54,4,5,5,455,Champions
14426,2,4,3701.2200000000007,5,4,5,545,Champions
16873,33,3,3687.0300000000016,4,4,5,445,Champions
13758,64,5,3682.169999999999,3,5,5,355,Loyal Customers
18231,1,18,3681.970000000001,5,5,5,555,Champions
13735,1,6,3671.9300000000007,5,5,5,555,Champions
15867,15,12,3662.7,5,5,5,555,Champions
12557,20,2,3661.2,4,3,5,435,Loyal Customers
13004,18,11,3645.52,4,5,5,455,Champions
15218,2,7,3626.459999999999,5,5,5,555,Champions
14049,2,3,3613.949999999998,5,4,5,545,Champions
16709,18,5,3544.1899999999987,4,5,5,455,Champions
14459,125,1,3537.820999999999,1,1,5,115,Lost
14648,7,11,3529.4099999999994,5,5,5,555,Champions
15358,17,8,3524.529999999997,4,5,5,455,Champions
13199,7,15,3517.11,5,5,5,555,Champions
15984,14,13,3480.6599999999985,5,5,5,555,Champions
12843,12,13,3478.0800000000004,5,5,5,555,Champions
16200,25,8,3476.319999999999,4,5,5,455,Champions
15270,92,8,3471.72,2,5,5,255,At Risk
13044,37,8,3460.8500000000004,4,5,5,455,Champions
15998,5,7,3447.319999999997,5,5,5,555,Champions
12510,98,6,3414.2299999999987,2,5,5,255,At Risk
14735,3,13,3395.769999999999,5,5,5,555,Champions
16067,37,3,3395.2900000000004,4,4,5,445,Champions
15555,11,10,3394.190000000001,5,5,5,555,Champions
13999,6,10,3378.489999999999,5,5,5,555,Champions
12621,12,5,3372.24,5,5,5,555,Champions
15538,12,6,3358.4,5,5,5,555,Champions
16814,2,7,3350.760000000002,5,5,5,555,Champions
13141,10,8,3349.24,5,5,5,555,Champions
12731,18,3,3341.100000000001,4,4,5,445,Champions
12989,31,11,3340.14,4,5,5,455,Champions
15874,44,8,3316.51,3,5,5,355,Loyal Customers
15296,45,2,3312.589999999999,3,3,5,335,Loyal Customers
14051,22,7,3312.52,4,5,5,455,Champions
12481,81,2,3275.600000000001,2,3,5,235,At Risk
17107,28,2,3271.7699999999995,4,3,5,435,Loyal Customers
17409,38,5,3260.02,3,5,5,355,Loyal Customers
13327,13,7,3242.749999999998,5,5,5,555,Champions
17593,11,5,3235.9700000000003,5,5,5,555,Champions
12583,28,6,3235.450000000001,4,5,5,455,Champions
14030,70,7,3213.079999999994,2,5,5,255,At Risk
17044,44,4,3207.979999999999,3,4,5,345,Loyal Customers
14025,3,5,3175.9800000000005,5,5,5,555,Champions
17160,15,6,3163.339999999997,5,5,5,555,Champions
13446,2,9,3156.53,5,5,5,555,Champions
15719,15,11,3137.4999999999945,5,5,5,555,Champions
17340,46,3,3134.239999999999,3,4,5,345,Loyal Customers
15674,7,5,3132.49,5,5,5,555,Champions
14081,72,7,3099.429999999996,2,5,5,255,At Risk
13771,7,5,3094.3699999999994,5,5,5,555,Champions
13715,3,6,3092.380000000001,5,5,5,555,Champions
15544,3,8,3089.0299999999997,5,5,5,555,Champions
13394,2,8,3085.16,5,5,5,555,Champions
13831,3,10,3076.870000000002,5,5,5,555,Champions
14422,2,8,3050.5700000000006,5,5,5,555,Champions
13047,29,7,3047.22,4,5,5,455,Champions
16556,2,6,3013.239999999999,5,5,5,555,Champions
15321,38,8,3005.909999999999,3,5,5,355,Loyal Customers
17032,22,8,3004.5999999999995,4,5,5,455,Champions
14085,15,9,2991.6699999999964,5,5,5,555,Champions
16985,42,6,2986.119999999999,3,5,5,355,Loyal Customers
15260,5,13,2958.940000000001,5,5,5,555,Champions
15981,7,6,2941.84,5,5,5,555,Champions
12468,1,3,2941.200000000001,5,4,5,545,Champions
12455,51,3,2929.950000000001,3,4,5,345,Loyal Customers
13668,14,8,2928.770000000001,5,5,5,555,Champions
12422,3,8,2922.07,5,5,5,555,Champions
13599,35,6,2909.120000000001,4,5,5,455,Champions
16125,11,9,2908.1199999999994,5,5,5,555,Champions
13418,39,6,2904.729999999999,3,5,5,355,Loyal Customers
17809,18,5,2894.93,4,5,5,455,Champions
14135,22,5,2869.7600000000007,4,5,5,455,Champions
13050,7,8,2857.8299999999995,5,5,5,555,Champions
14560,39,13,2855.129999999999,3,5,5,355,Loyal Customers
13983,24,6,2854.9899999999984,4,5,5,455,Champions
14970,5,7,2854.7900000000004,5,5,5,555,Champions
12806,46,2,2843.959999999999,3,3,5,335,Loyal Customers
16986,36,8,2843.050000000001,4,5,5,455,Champions
15482,75,6,2842.4300000000007,2,5,5,255,At Risk
17965,6,9,2837.53,5,5,5,555,Champions
18061,20,12,2832.87,4,5,5,455,Champions
13148,41,7,2824.5199999999995,3,5,5,355,Loyal Customers
16467,10,6,2799.5599999999995,5,5,5,555,Champions
16335,26,7,2774.0,4,5,5,455,Champions
15547,5,6,2772.939999999999,5,5,5,555,Champions
17706,24,3,2768.71,4,4,5,445,Champions
13659,22,8,2768.6299999999987,4,5,5,455,Champions
13488,15,4,2763.18,5,4,5,545,Champions
17611,24,8,2755.070000000002,4,5,5,455,Champions
15023,14,6,2742.3400000000024,5,5,5,555,Champions
13448,43,4,2740.099999999999,3,4,5,345,Loyal Customers
13576,49,6,2736.8000000000006,3,5,5,355,Loyal Customers
15898,16,15,2736.7199999999907,5,5,5,555,Champions
13334,10,2,2726.9300000000007,5,3,5,535,Loyal Customers
12623,19,4,2719.7899999999995,4,4,5,445,Champions
14329,13,5,2709.22,5,5,5,555,Champions
17508,2,5,2708.91,5,5,5,555,Champions
14769,4,5,2689.099999999999,5,5,5,555,Champions
16954,18,6,2683.61,4,5,5,455,Champions
16126,14,6,2682.04,5,5,5,555,Champions
17576,3,12,2675.510000000001,5,5,5,555,Champions
17696,8,9,2671.48,5,5,5,555,Champions
14145,11,2,2669.85,5,3,5,535,Loyal Customers
16701,2,8,2667.1299999999983,5,5,5,555,Champions
13451,2,3,2653.82,5,4,5,545,Champions
12747,8,10,2649.79,5,5,5,555,Champions
18041,3,9,2649.6899999999982,5,5,5,555,Champions
17739,56,6,2637.429999999999,3,5,5,355,Loyal Customers
15570,22,6,2634.6400000000017,4,5,5,455,Champions
18194,15,4,2625.7000000000003,5,4,5,545,Champions
12671,80,1,2622.481,2,1,5,215,Lost
17231,18,10,2621.919999999996,4,5,5,455,Champions
16858,5,7,2618.26,5,5,5,555,Champions
14286,114,3,2613.0199999999995,2,4,5,245,At Risk
14755,23,9,2607.22,4,5,5,455,Champions
15144,5,4,2587.76,5,4,5,545,Champions
16258,5,4,2566.8699999999994,5,4,5,545,Champions
17457,21,5,2549.6,4,5,5,455,Champions
13426,14,6,2547.579999999998,5,5,5,555,Champions
12490,55,7,2547.170000000001,3,5,5,355,Loyal Customers
17400,55,3,2547.090000000001,3,4,5,345,Loyal Customers
15812,29,5,2531.9200000000005,4,5,5,455,Champions
12613,15,3,2530.6,5,4,5,545,Champions
13869,30,3,2526.010000000001,4,4,5,445,Champions
13542,5,11,2524.479999999999,5,5,5,555,Champions
16636,57,3,2506.79,3,4,5,345,Loyal Customers
13491,18,11,2496.1,4,5,5,455,Champions
18064,37,6,2495.67,4,5,5,455,Champions
14113,1,7,2490.8900000000003,5,5,5,555,Champions
16923,3,6,2488.369999999998,5,5,5,555,Champions
14709,23,7,2485.9700000000003,4,5,5,455,Champions
14415,26,4,2450.7500000000027,4,4,5,445,Champions
13267,53,7,2431.859999999999,3,5,5,355,Loyal Customers
15222,78,8,2420.6600000000003,2,5,5,255,At Risk
15372,135,4,2416.0799999999995,1,4,5,145,At Risk
15298,22,6,2413.28,4,5,5,455,Champions
12431,8,6,2409.2600000000007,5,5,5,555,Champions
17700,52,5,2404.2599999999998,3,5,5,355,Loyal Customers
16718,63,4,2400.03,3,4,5,345,Loyal Customers
16497,6,11,2392.2500000000005,5,5,5,555,Champions
16191,21,2,2380.08,4,3,5,435,Loyal Customers
16940,17,4,2360.3100000000004,4,4,5,445,Champions
18178,17,4,2350.94,4,4,5,445,Champions
17625,11,3,2349.619999999999,5,4,5,545,Champions
15755,2,7,2339.4300000000007,5,5,5,555,Champions
14590,1,15,2327.2700000000004,5,5,5,555,Champions
12415,2,1,2326.739999999999,5,1,5,515,New Customers
17113,48,6,2322.5900000000006,3,5,5,355,Loyal Customers
14938,36,2,2322.4299999999994,4,3,5,435,Loyal Customers
16710,12,8,2321.82,5,5,5,555,Champions
12643,28,3,2319.4,4,4,5,445,Champions
14465,19,6,2317.4100000000003,4,5,5,455,Champions
13357,35,3,2316.939999999999,4,4,5,445,Champions
17085,33,10,2314.0600000000018,4,5,5,455,Champions
16253,16,3,2309.3899999999994,5,4,5,545,Champions
14282,3,5,2308.4,5,5,5,555,Champions
16170,2,7,2306.59,5,5,5,555,Champions
13107,17,3,2304.59,4,4,5,445,Champions
13555,17,6,2304.09,4,5,5,455,Champions
16077,100,1,2300.4,2,1,5,215,Lost
14770,36,4,2292.74,4,4,5,445,Champions
16742,21,12,2292.6800000000003,4,5,5,455,Champions
17519,9,7,2290.780000000001,5,5,5,555,Champions
12683,50,4,2290.08,3,4,5,345,Loyal Customers
12524,100,3,2282.58,2,4,5,245,At Risk
18051,108,7,2282.28,2,5,5,255,At Risk
16168,3,16,2281.54,5,5,5,555,Champions
13562,2,4,2277.55,5,4,5,545,Champions
14395,34,6,2269.2499999999995,4,5,5,455,Champions
16553,98,6,2255.96,2,5,5,255,At Risk
12971,10,10,2253.5500000000006,5,5,5,555,Champions
13786,63,4,2253.24,3,4,5,345,Loyal Customers
12939,24,5,2250.0,4,5,5,455,Champions
13407,53,3,2244.7000000000007,3,4,5,345,Loyal Customers
13473,49,6,2235.120000000001,3,5,5,355,Loyal Customers
18087,79,8,2227.019999999999,2,5,5,255,At Risk
12633,0,1,2216.3899999999985,5,1,5,515,New Customers
15194,78,6,2214.99,2,5,5,255,At Risk
17799,14,7,2209.48,5,5,5,555,Champions
16700,39,6,2209.21,3,5,5,355,Loyal Customers
15950,29,3,2199.490000000001,4,4,5,445,Champions
18225,2,5,2199.41,5,5,5,555,Champions
12631,18,4,2198.55,4,4,5,445,Champions
13634,11,6,2197.61,5,5,5,555,Champions
16592,1,7,2195.3600000000006,5,5,5,555,Champions
12836,25,6,2189.1600000000008,4,5,5,455,Champions
14535,24,4,2184.2800000000016,4,4,5,445,Champions
13037,14,6,2182.64,5,5,5,555,Champions
16945,19,8,2180.730000000001,4,5,5,455,Champions
15980,30,2,2177.64,4,3,5,435,Loyal Customers
14210,23,5,2175.26,4,5,5,455,Champions
13214,2,4,2175.15,5,4,5,545,Champions
14514,24,4,2174.180000000002,4,4,5,445,Champions
15015,17,12,2173.1700000000005,4,5,5,455,Champions
18094,36,5,2172.9,4,5,5,455,Champions
13762,67,4,2165.76,3,4,5,345,Loyal Customers
13381,39,3,2164.470000000001,3,4,5,345,Loyal Customers
12839,52,7,2161.9800000000014,3,5,5,355,Loyal Customers
18245,10,7,2161.19,5,5,5,555,Champions
16186,22,6,2159.8899999999985,4,5,5,455,Champions
14841,17,5,2158.3499999999995,4,5,5,455,Champions
13373,95,2,2154.8500000000004,2,3,5,235,At Risk
14532,4,5,2154.700000000001,5,5,5,555,Champions
13082,25,6,2153.5400000000004,4,5,5,455,Champions
12451,3,1,2151.2700000000004,5,1,5,515,New Customers
16351,35,9,2145.51,4,5,5,455,Champions
16735,36,6,2138.98,4,5,5,455,Champions
17305,122,1,2135.46,1,1,5,115,Lost
13931,97,4,2131.420000000001,2,4,5,245,At Risk
12823,23,8,2131.0,4,5,5,455,Champions
17848,20,15,2128.7,4,5,5,455,Champions
15754,92,4,2126.8199999999997,2,4,5,245,At Risk
13209,55,4,2126.5,3,4,5,345,Loyal Customers
13953,43,3,2125.0,3,4,5,345,Loyal Customers
16736,67,4,2124.28,3,4,5,345,Loyal Customers
15032,77,2,2123.95,2,3,5,235,At Risk
12917,52,2,2102.0000000000005,3,3,5,335,Loyal Customers
17669,3,2,2101.28,5,3,5,535,Loyal Customers
14440,72,4,2093.7500000000005,2,4,5,245,At Risk
14105,84,2,2090.3500000000004,2,3,5,235,At Risk
17819,58,4,2085.0999999999995,3,4,5,345,Loyal Customers
15785,9,6,2081.4300000000007,5,5,5,555,Champions
13317,20,6,2079.4400000000005,4,5,5,455,Champions
15079,21,4,2066.760000000001,4,4,5,445,Champions
13052,24,4,2064.8300000000004,4,4,5,445,Champions
14291,43,4,2059.8200000000006,3,4,5,345,Loyal Customers
17238,24,8,2059.400000000001,4,5,5,455,Champions
15002,9,4,2057.4700000000007,5,4,5,545,Champions
16558,18,5,2053.5800000000013,4,5,5,455,Champions
15367,66,5,2048.87,3,5,5,355,Loyal Customers
17931,1,8,2046.9800000000007,5,5,5,555,Champions
17913,22,8,2025.9,4,5,5,455,Champions
13815,25,2,2025.0399999999995,4,3,5,435,Loyal Customers
15150,18,1,2024.060000000001,4,1,5,415,New Customers
16180,8,2,2017.52,5,3,5,535,Loyal Customers
13316,114,1,2017.36,2,1,5,215,Lost
13085,154,6,2017.2000000000005,1,5,5,155,At Risk
14227,30,3,2014.4300000000007,4,4,5,445,Champions
12359,10,5,2012.03,5,5,5,555,Champions
14930,37,2,2005.6300000000003,4,3,5,435,Loyal Customers
16772,175,2,2001.1,1,3,5,135,At Risk
17307,57,5,2000.2600000000004,3,5,5,355,Loyal Customers
17873,35,6,1998.7000000000007,4,5,5,455,Champions
15791,4,3,1995.65,5,4,5,545,Champions
16782,5,9,1990.8600000000051,5,5,5,555,Champions
13629,45,3,1980.0,3,4,5,345,Loyal Customers
17241,30,8,1979.440000000001,4,5,5,455,Champions
13091,203,2,1976.0000000000005,1,3,5,135,At Risk
17031,24,2,1975.0,4,3,5,435,Loyal Customers
14159,24,6,1974.9700000000007,4,5,5,455,Champions
14669,108,4,1973.9400000000005,2,4,5,245,At Risk
15031,13,7,1972.9400000000005,5,5,5,555,Champions
14401,7,6,1971.03,5,5,5,555,Champions
17504,51,4,1963.69,3,4,5,345,Loyal Customers
17372,4,14,1962.7100000000012,5,5,5,555,Champions
13338,16,3,1958.6000000000004,5,4,5,545,Champions
12469,11,1,1956.84,5,1,5,515,New Customers
14593,11,7,1956.390000000002,5,5,5,555,Champions
17039,78,1,1954.99,2,1,5,215,Lost
12653,1,1,1950.98,5,1,5,515,New Customers
12978,120,4,1946.4599999999984,1,4,5,145,At Risk
17754,71,5,1945.2799999999988,2,5,5,255,At Risk
13875,1,6,1944.8700000000013,5,5,5,555,Champions
18065,2,7,1944.4,5,5,5,555,Champions
13113,33,3,1942.94,4,4,5,445,Champions
13958,65,5,1942.7000000000005,3,5,5,355,Loyal Customers
15727,29,3,1937.66,4,4,5,445,Champions
15805,50,4,1933.569999999999,3,4,5,345,Loyal Customers
13136,60,2,1931.070000000001,3,3,5,335,Loyal Customers
13854,16,8,1926.2700000000004,5,5,5,555,Champions
17115,23,4,1923.99,4,4,5,445,Champions
14530,2,6,1921.280000000001,5,5,5,555,Champions
16353,57,11,1913.05,3,5,5,355,Loyal Customers
15465,55,9,1908.9500000000007,3,5,5,355,Loyal Customers
17465,42,5,1905.0000000000005,3,5,5,355,Loyal Customers
12913,44,5,1903.7400000000005,3,5,5,355,Loyal Customers
15527,23,9,1902.360000000001,4,5,5,455,Champions
12391,72,4,1902.19,2,4,5,245,At Risk
17469,57,6,1901.4800000000005,3,5,5,355,Loyal Customers
18009,16,7,1898.4900000000007,5,5,5,555,Champions
15838,29,4,1890.56,4,4,5,445,Champions
17663,22,4,1889.24,4,4,5,445,Champions
14867,4,12,1883.3800000000008,5,5,5,555,Champions
16103,3,7,1883.37,5,5,5,555,Champions
13269,1,9,1875.4800000000007,5,5,5,555,Champions
16560,56,5,1874.8400000000004,3,5,5,355,Loyal Customers
16670,98,3,1874.6100000000004,2,4,5,245,At Risk
16104,82,6,1873.6000000000013,2,5,5,255,At Risk
15641,14,5,1872.71,5,5,5,555,Champions
17969,18,16,1868.7900000000004,4,5,5,455,Champions
16072,23,1,1859.640000000002,4,1,5,415,New Customers
16290,19,2,1850.6500000000003,4,3,5,435,Loyal Customers
14702,75,6,1850.4600000000016,2,5,5,255,At Risk
15122,10,4,1847.8900000000003,5,4,5,545,Champions
17412,24,6,1847.31,4,5,5,455,Champions
13552,16,4,1844.9600000000005,5,4,5,545,Champions
15265,79,2,1839.520000000001,2,3,5,235,At Risk
14154,18,2,1835.6600000000003,4,3,5,435,Loyal Customers
13478,15,4,1834.010000000001,5,4,5,545,Champions
17646,10,6,1817.3400000000004,5,5,5,555,Champions
13658,21,2,1816.5100000000004,4,3,5,435,Loyal Customers
12417,14,6,1812.2000000000005,5,5,5,555,Champions
12531,160,1,1807.98,1,1,5,115,Lost
16938,58,2,1807.59,3,3,5,335,Loyal Customers
15521,20,4,1807.32,4,4,5,445,Champions
14732,8,8,1807.2200000000005,5,5,5,555,Champions
13157,49,2,1805.86,3,3,5,335,Loyal Customers
17861,72,5,1802.179999999998,2,5,5,255,At Risk
13593,26,5,1801.5900000000008,4,5,5,455,Champions
13520,82,3,1795.8799999999997,2,4,5,245,At Risk
16336,106,2,1787.9000000000003,2,3,5,235,At Risk
15425,2,3,1787.07,5,4,5,545,Champions
15786,11,1,1786.7100000000005,5,1,5,515,New Customers
13901,28,6,1786.57,4,5,5,455,Champions
17082,100,3,1785.3800000000006,2,4,5,245,At Risk
13510,10,5,1781.2100000000007,5,5,5,555,Champions
15673,46,3,1780.8100000000004,3,4,5,345,Loyal Customers
18214,5,4,1780.34,5,4,5,545,Champions
15306,39,4,1776.3100000000002,3,4,5,345,Loyal Customers
14175,58,2,1772.2700000000004,3,3,5,335,Loyal Customers
15514,69,5,1770.9499999999994,2,5,5,255,At Risk
16004,37,3,1763.44,4,4,5,445,Champions
14525,41,5,1756.29,3,5,5,355,Loyal Customers
12708,2,6,1756.2799999999995,5,5,5,555,Champions
15046,26,7,1751.9399999999998,4,5,5,455,Champions
14634,8,2,1747.0600000000002,5,3,5,535,Loyal Customers
13615,39,3,1739.9700000000007,3,4,5,345,Loyal Customers
12435,111,2,1736.8799999999994,2,3,5,235,At Risk
12872,14,6,1734.5700000000006,5,5,5,555,Champions
15421,37,4,1733.9499999999996,4,4,5,445,Champions
15389,29,3,1733.8,4,4,5,445,Champions
16456,11,4,1731.8400000000013,5,4,5,545,Champions
15369,66,6,1728.3999999999996,3,5,5,355,Loyal Customers
13982,10,4,1727.5900000000004,5,4,5,545,Champions
16133,27,5,1726.94,4,5,5,455,Champions
13173,35,8,1724.850000000003,4,5,5,455,Champions
